Postal Code,State,Primary_city,Zone
10012,NY,New York City,NJ-EDS-B
10013,NY,New York City,NJ-EDS-B
10014,NY,New York City,NJ-EDS-B
10016,NY,New York City,NJ-EDS-B
10017,NY,New York City,NJ-EDS-B
10018,NY,New York City,NJ-EDS-B
10019,NY,New York City,NJ-EDS-B
10020,NY,New York City,NJ-EDS-B
10021,NY,New York City,NJ-EDS-B
10022,NY,New York City,NJ-EDS-B
10023,NY,New York City,NJ-EDS-B
10024,NY,New York City,NJ-EDS-B
10025,NY,New York City,NJ-EDS-B
10026,NY,New York City,NJ-EDS-B
10027,NY,New York City,NJ-EDS-B
10028,NY,New York City,NJ-EDS-B
10029,NY,New York City,NJ-EDS-B
10030,NY,New York City,NJ-EDS-B
10031,NY,New York City,NJ-EDS-B
10032,NY,New York City,NJ-EDS-B
10033,NY,New York City,NJ-EDS-B
10034,NY,New York City,NJ-EDS-B
10035,NY,New York City,NJ-EDS-B
10036,NY,New York City,NJ-EDS-B
10037,NY,New York City,NJ-EDS-B
10038,NY,New York City,NJ-EDS-B
10039,NY,New York City,NJ-EDS-B
10040,NY,New York City,NJ-EDS-B
10041,NY,New York City,NJ-EDS-B
10043,NY,New York City,NJ-EDS-B
10044,NY,New York City,NJ-EDS-B
10045,NY,New York City,NJ-EDS-B
10055,NY,New York City,NJ-EDS-B
10060,NY,New York City,NJ-EDS-B
10065,NY,New York City,NJ-EDS-B
10069,NY,New York City,NJ-EDS-B
10075,NY,New York City,NJ-EDS-B
10080,NY,New York City,NJ-EDS-B
10081,NY,New York City,NJ-EDS-B
10087,NY,New York City,NJ-EDS-B
10090,NY,New York City,NJ-EDS-B
10102,NY,New York City,NJ-EDS-B
10103,NY,New York City,NJ-EDS-B
10104,NY,New York City,NJ-EDS-B
10105,NY,New York City,NJ-EDS-B
10106,NY,New York City,NJ-EDS-B
10107,NY,New York City,NJ-EDS-B
10109,NY,New York City,NJ-EDS-B
10110,NY,New York City,NJ-EDS-B
10111,NY,New York City,NJ-EDS-B
10112,NY,New York City,NJ-EDS-B
10114,NY,New York City,NJ-EDS-B
10115,NY,New York City,NJ-EDS-B
10117,NY,New York City,NJ-EDS-B
10118,NY,New York City,NJ-EDS-B
10119,NY,New York City,NJ-EDS-B
10120,NY,New York City,NJ-EDS-B
10121,NY,New York City,NJ-EDS-B
10122,NY,New York City,NJ-EDS-B
10123,NY,New York City,NJ-EDS-B
10124,NY,New York City,NJ-EDS-B
10125,NY,New York City,NJ-EDS-B
10126,NY,New York City,NJ-EDS-B
10128,NY,New York City,NJ-EDS-B
10130,NY,New York City,NJ-EDS-B
10131,NY,New York City,NJ-EDS-B
10132,NY,New York City,NJ-EDS-B
10133,NY,New York City,NJ-EDS-B
10138,NY,New York City,NJ-EDS-B
10151,NY,New York City,NJ-EDS-B
10152,NY,New York City,NJ-EDS-B
10153,NY,New York City,NJ-EDS-B
10154,NY,New York City,NJ-EDS-B
10155,NY,New York City,NJ-EDS-B
10157,NY,New York City,NJ-EDS-B
10158,NY,New York City,NJ-EDS-B
10160,NY,New York City,NJ-EDS-B
10162,NY,New York City,NJ-EDS-B
10164,NY,New York City,NJ-EDS-B
10165,NY,New York City,NJ-EDS-B
10166,NY,New York City,NJ-EDS-B
10167,NY,New York City,NJ-EDS-B
10168,NY,New York City,NJ-EDS-B
10169,NY,New York City,NJ-EDS-B
10170,NY,New York City,NJ-EDS-B
10171,NY,New York City,NJ-EDS-B
